Area,Baths,Bedrooms,Location,Price,Purpose,Type
500 Sq. Yd.,6,5,"Malir, Karachi, Sindh","PKR,9.5 Crore",For Sale,House
350 Sq. Yd.,5,4,"Malir, Karachi, Sindh","PKR,8 Crore",For Sale,House
500 Sq. Yd.,6,5,"Malir, Karachi, Sindh","PKR,9.5 Crore",For Sale,House
160 Sq. Yd.,3,4,"Karachi Motorway, Karachi, Sindh","PKR,1.35 Crore",For Sale,House
500 Sq. Yd.,6,5,"Cantt, Karachi, Sindh","PKR,8 Crore",For Sale,House
500 Sq. Yd.,6,5,"Malir, Karachi, Sindh","PKR,9.5 Crore",For Sale,House
350 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,1.83 Crore",For Sale,House
120 Sq. Yd.,4,4,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,2.85 Crore",For Sale,House
350 Sq. Yd.,5,4,"Malir, Karachi, Sindh","PKR,8 Crore",For Sale,House
500 Sq. Yd.,6,5,"Cantt, Karachi, Sindh","PKR,8 Crore",For Sale,House
120 Sq. Yd.,4,4,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,2.85 Crore",For Sale,House
500 Sq. Yd.,8,7,"KDA Scheme 1 Extension, Karachi, Sindh","PKR,22 Crore",For Sale,House
120 Sq. Yd.,6,4,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,2.45 Crore",For Sale,House
350 Sq. Yd.,5,4,"Malir, Karachi, Sindh","PKR,8 Crore",For Sale,House
375 Sq. Yd.,6,5,"Cantt, Karachi, Sindh","PKR,7.6 Crore",For Sale,House
375 Sq. Yd.,6,5,"Cantt, Karachi, Sindh","PKR,7.6 Crore",For Sale,House
375 Sq. Yd.,6,5,"Cantt, Karachi, Sindh","PKR,7.6 Crore",For Sale,House
375 Sq. Yd.,6,5,"Cantt, Karachi, Sindh","PKR,7.6 Crore",For Sale,House
375 Sq. Yd.,6,5,"Cantt, Karachi, Sindh","PKR,7.6 Crore",For Sale,House
375 Sq. Yd.,6,5,"Cantt, Karachi, Sindh","PKR,7.6 Crore",For Sale,House
375 Sq. Yd.,6,5,"Cantt, Karachi, Sindh","PKR,7.6 Crore",For Sale,House
120 Sq. Yd.,3,3,"Malir, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
280 Sq. Yd.,5,5,"University Road, Karachi, Sindh","PKR,3.8 Crore",For Sale,House
522 Sq. Yd.,-,-,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,16 Crore",For Sale,House
250 Sq. Yd.,5,5,"Jamshed Town, Karachi, Sindh","PKR,9 Crore",For Sale,House
500 Sq. Yd.,-,-,"Jamshed Town, Karachi, Sindh","PKR,18 Crore",For Sale,House
500 Sq. Yd.,-,-,"Jamshed Town, Karachi, Sindh","PKR,14 Crore",For Sale,House
200 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,3.25 Crore",For Sale,House
600 Sq. Yd.,-,-,"Jamshed Town, Karachi, Sindh","PKR,14.5 Crore",For Sale,House
525 Sq. Yd.,-,-,"Jamshed Town, Karachi, Sindh","PKR,14 Crore",For Sale,House
400 Sq. Yd.,-,-,"Jamshed Town, Karachi, Sindh","PKR,14.5 Crore",For Sale,House
300 Sq. Yd.,-,-,"Jamshed Town, Karachi, Sindh","PKR,13.5 Crore",For Sale,House
300 Sq. Yd.,-,-,"Jamshed Town, Karachi, Sindh","PKR,10 Crore",For Sale,House
250 Sq. Yd.,-,-,"Jamshed Town, Karachi, Sindh","PKR,10.5 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,20 Crore",For Sale,House
240 Sq. Yd.,4,5,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,7 Crore",For Sale,House
130 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,2.3 Crore",For Sale,House
400 Sq. Yd.,6,8,"Scheme 33, Karachi, Sindh","PKR,5.4 Crore",For Sale,House
375 Sq. Yd.,6,5,"Cantt, Karachi, Sindh","PKR,7.75 Crore",For Sale,House
120 Sq. Yd.,6,4,"Scheme 33, Karachi, Sindh","PKR,2.85 Crore",For Sale,House
120 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,2.25 Crore",For Sale,House
240 Sq. Yd.,2,3,"Gadap Town, Karachi, Sindh","PKR,2.38 Crore",For Sale,House
120 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,2.1 Crore",For Sale,House
240 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,3.95 Crore",For Sale,House
700 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,14 Crore",For Sale,House
120 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,2.2 Crore",For Sale,House
240 Sq. Yd.,6,8,"Gadap Town, Karachi, Sindh","PKR,3.1 Crore",For Sale,House
,4,4,"Cantt, Karachi, Sindh","PKR,6.2 Crore",For Sale,House
,4,4,"Cantt, Karachi, Sindh","PKR,6.55 Crore",For Sale,House
,4,4,"Cantt, Karachi, Sindh","PKR,6.5 Crore",For Sale,House
,4,4,"Cantt, Karachi, Sindh","PKR,6.45 Crore",For Sale,House
,4,4,"Cantt, Karachi, Sindh","PKR,6.25 Crore",For Sale,House
,4,4,"Cantt, Karachi, Sindh","PKR,6.4 Crore",For Sale,House
240 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,4.75 Crore",For Sale,House
240 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,4.75 Crore",For Sale,House
240 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,5.2 Crore",For Sale,House
120 Sq. Yd.,6,6,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,2.4 Crore",For Sale,House
400 Sq. Yd.,6,10,"Scheme 33, Karachi, Sindh","PKR,6.55 Crore",For Sale,House
120 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,2.95 Crore",For Sale,House
120 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,2.75 Crore",For Sale,House
120 Sq. Yd.,3,3,"Federal B Area, Karachi, Sindh","PKR,2.95 Crore",For Sale,House
120 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,2.18 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,18 Crore",For Sale,House
120 Sq. Yd.,3,4,"Gadap Town, Karachi, Sindh","PKR,1.6 Crore",For Sale,House
240 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,4.1 Crore",For Sale,House
600 Sq. Yd.,6,7,"North Nazimabad, Karachi, Sindh","PKR,13 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,21 Crore",For Sale,House
600 Sq. Yd.,-,-,"DHA Defence, Karachi, Sindh","PKR,13.5 Crore",For Sale,House
800 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,28 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,7 Crore",For Sale,House
240 Sq. Yd.,-,9,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,5.75 Crore",For Sale,House
400 Sq. Yd.,7,6,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,5.5 Crore",For Sale,House
120 Sq. Yd.,3,3,"Gadap Town, Karachi, Sindh","PKR,1.1 Crore",For Sale,House
100 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,4.8 Crore",For Sale,House
240 Sq. Yd.,6,5,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,12.5 Crore",For Sale,House
400 Sq. Yd.,-,-,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,5.5 Crore",For Sale,House
240 Sq. Yd.,-,9,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,5.85 Crore",For Sale,House
120 Sq. Yd.,6,10,"Lyari Town, Karachi, Sindh","PKR,1.6 Crore",For Sale,House
160 Sq. Yd.,3,3,"Malir, Karachi, Sindh","PKR,2.7 Crore",For Sale,House
240 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,5 Crore",For Sale,House
"2,000 Sq. Yd.",5,5,"DHA Defence, Karachi, Sindh","PKR,38 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,24 Crore",For Sale,House
500 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,14.5 Crore",For Sale,House
500 Sq. Yd.,5,4,"DHA Defence, Karachi, Sindh","PKR,10.5 Crore",For Sale,House
"1,332 Sq. Yd.",5,5,"DHA Defence, Karachi, Sindh","PKR,24 Crore",For Sale,House
300 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,7 Crore",For Sale,House
160 Sq. Yd.,3,3,"Malir, Karachi, Sindh","PKR,2.7 Crore",For Sale,House
250 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,6.5 Crore",For Sale,House
160 Sq. Yd.,3,3,"Malir, Karachi, Sindh","PKR,2.7 Crore",For Sale,House
200 Sq. Yd.,4,6,"Defence View Society, Karachi, Sindh","PKR,3.5 Crore",For Sale,House
100 Sq. Yd.,4,4,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,2.1 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,13 Crore",For Sale,House
240 Sq. Yd.,3,3,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,4.5 Crore",For Sale,House
120 Sq. Yd.,6,4,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
800 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,29 Crore",For Sale,House
"2,000 Sq. Yd.",6,7,"DHA Defence, Karachi, Sindh","PKR,48 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,12 Crore",For Sale,House
"1,000 Sq. Yd.",5,5,"DHA Defence, Karachi, Sindh","PKR,18 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,17 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,22 Crore",For Sale,House
600 Sq. Yd.,-,-,"DHA Defence, Karachi, Sindh","PKR,14 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,28 Crore",For Sale,House
"2,200 Sq. Yd.",6,7,"DHA Defence, Karachi, Sindh","PKR,45 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,12.5 Crore",For Sale,House
"2,000 Sq. Yd.",6,7,"DHA Defence, Karachi, Sindh","PKR,48 Crore",For Sale,House
500 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,10 Crore",For Sale,House
500 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,16.5 Crore",For Sale,House
"2,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,35 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,22 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,12.5 Crore",For Sale,House
160 Sq. Yd.,5,4,"Naya Nazimabad, Karachi, Sindh","PKR,3.4 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,18.5 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.74 Crore",For Sale,House
120 Sq. Yd.,5,4,"Naya Nazimabad, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
500 Sq. Yd.,6,5,"Clifton, Karachi, Sindh","PKR,19 Crore",For Sale,House
160 Sq. Yd.,6,4,"Naya Nazimabad, Karachi, Sindh","PKR,3.4 Crore",For Sale,House
350 Sq. Yd.,5,4,"Bahria Town Karachi, Karachi, Sindh","PKR,2.05 Crore",For Sale,House
500 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,11 Crore",For Sale,House
120 Sq. Yd.,6,4,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,2.35 Crore",For Sale,House
160 Sq. Yd.,3,4,"Malir, Karachi, Sindh","PKR,2.65 Crore",For Sale,House
200 Sq. Yd.,6,5,"Scheme 33, Karachi, Sindh","PKR,3.15 Crore",For Sale,House
120 Sq. Yd.,3,2,"Naya Nazimabad, Karachi, Sindh","PKR,2.15 Crore",For Sale,House
400 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,7.5 Crore",For Sale,House
200 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,7.15 Crore",For Sale,House
240 Sq. Yd.,6,6,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,5.75 Crore",For Sale,House
120 Sq. Yd.,3,2,"Malir, Karachi, Sindh","PKR,1.08 Crore",For Sale,House
120 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,1.95 Crore",For Sale,House
210 Sq. Yd.,5,5,"North Nazimabad, Karachi, Sindh","PKR,3 Crore",For Sale,House
"2,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,65 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,16.5 Crore",For Sale,House
120 Sq. Yd.,3,3,"Malir, Karachi, Sindh","PKR,2.57 Crore",For Sale,House
120 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,2.1 Crore",For Sale,House
300 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,10.5 Crore",For Sale,House
300 Sq. Yd.,-,-,"DHA Defence, Karachi, Sindh","PKR,7 Crore",For Sale,House
300 Sq. Yd.,"DHA Defence, Karachi, Sindh",For Sale,,"PKR,8.25 Crore",,
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,16.25 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,21 Crore",For Sale,House
120 Sq. Yd.,5,4,"DHA Defence, Karachi, Sindh","PKR,6.1 Crore",For Sale,House
400 Sq. Yd.,5,5,"Clifton, Karachi, Sindh","PKR,7 Crore",For Sale,House
500 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,8.2 Crore",For Sale,House
120 Sq. Yd.,2,2,"Scheme 33, Karachi, Sindh","PKR,1.3 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,12.6 Crore",For Sale,House
183 Sq. Yd.,3,2,"DHA Defence, Karachi, Sindh","PKR,6.25 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,2.2 Crore",For Sale,House
350 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,1.8 Crore",For Sale,House
111 Sq. Yd.,-,-,"DHA Defence, Karachi, Sindh","PKR,1.2 Crore",For Sale,House
700 Sq. Yd.,6,7,"DHA Defence, Karachi, Sindh","PKR,15.5 Crore",For Sale,House
666 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,22 Crore",For Sale,House
275 Sq. Yd.,5,5,"Bath Island, Karachi, Sindh","PKR,6.5 Crore",For Sale,House
125 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.42 Crore",For Sale,House
500 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,10.5 Crore",For Sale,House
180 Sq. Yd.,5,4,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,4.5 Crore",For Sale,House
300 Sq. Yd.,5,4,"DHA Defence, Karachi, Sindh","PKR,6.15 Crore",For Sale,House
120 Sq. Yd.,2,2,"Federal B Area, Karachi, Sindh","PKR,1.45 Crore",For Sale,House
120 Sq. Yd.,5,4,"DHA Defence, Karachi, Sindh","PKR,5.35 Crore",For Sale,House
600 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,9.95 Crore",For Sale,House
500 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,14.5 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,25 Crore",For Sale,House
500 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,10 Crore",For Sale,House
500 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,14 Crore",For Sale,House
240 Sq. Yd.,4,4,"Saima Luxury Homes, Karachi, Sindh","PKR,3.1 Crore",For Sale,House
240 Sq. Yd.,4,4,"Saima Luxury Homes, Karachi, Sindh","PKR,3 Crore",For Sale,House
240 Sq. Yd.,4,4,"Saima Luxury Homes, Karachi, Sindh","PKR,2.9 Crore",For Sale,House
120 Sq. Yd.,3,3,"Saima Luxury Homes, Karachi, Sindh","PKR,1.85 Crore",For Sale,House
160 Sq. Yd.,3,3,"Saima Luxury Homes, Karachi, Sindh","PKR,2.15 Crore",For Sale,House
240 Sq. Yd.,4,4,"Saima Luxury Homes, Karachi, Sindh","PKR,2.8 Crore",For Sale,House
120 Sq. Yd.,2,2,"Saima Luxury Homes, Karachi, Sindh","PKR,1.8 Crore",For Sale,House
160 Sq. Yd.,3,3,"Saima Luxury Homes, Karachi, Sindh","PKR,2.3 Crore",For Sale,House
160 Sq. Yd.,3,3,"Saima Luxury Homes, Karachi, Sindh","PKR,2.1 Crore",For Sale,House
160 Sq. Yd.,3,3,"Saima Luxury Homes, Karachi, Sindh","PKR,2.15 Crore",For Sale,House
120 Sq. Yd.,2,2,"Saima Luxury Homes, Karachi, Sindh","PKR,1.75 Crore",For Sale,House
120 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,7.5 Crore",For Sale,House
"4,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,75 Crore",For Sale,House
120 Sq. Yd.,2,2,"Saima Luxury Homes, Karachi, Sindh","PKR,1.8 Crore",For Sale,House
500 Sq. Yd.,5,5,"Cantt, Karachi, Sindh","PKR,9.85 Crore",For Sale,House
"1,000 Sq. Yd.",6,5,"DHA Defence, Karachi, Sindh","PKR,28.5 Crore",For Sale,House
500 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,21 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,38.5 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,26.5 Crore",For Sale,House
800 Sq. Yd.,6,8,"DHA Defence, Karachi, Sindh","PKR,29 Crore",For Sale,House
"1,000 Sq. Yd.",8,6,"DHA Defence, Karachi, Sindh","PKR,22.5 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,39 Crore",For Sale,House
400 Sq. Yd.,6,6,"Federal B Area, Karachi, Sindh","PKR,10.75 Crore",For Sale,House
666 Sq. Yd.,6,9,"DHA Defence, Karachi, Sindh","PKR,14 Crore",For Sale,House
"1,000 Sq. Yd.",8,6,"DHA Defence, Karachi, Sindh","PKR,26 Crore",For Sale,House
666 Sq. Yd.,7,6,"DHA Defence, Karachi, Sindh","PKR,17 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,21 Crore",For Sale,House
100 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,5 Crore",For Sale,House
400 Sq. Yd.,"Scheme 33, Karachi, Sindh",For Sale,,"PKR,7.3 Crore",,House
240 Sq. Yd.,6,9,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,8 Crore",For Sale,House
240 Sq. Yd.,6,9,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,5.25 Crore",For Sale,House
325 Sq. Yd.,6,8,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,7.6 Crore",For Sale,House
170 Sq. Yd.,4,4,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,4.1 Crore",For Sale,House
240 Sq. Yd.,6,9,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,5.5 Crore",For Sale,House
240 Sq. Yd.,6,6,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,6.7 Crore",For Sale,House
240 Sq. Yd.,6,6,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,6.25 Crore",For Sale,House
400 Sq. Yd.,6,10,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,8.75 Crore",For Sale,House
350 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,2.2 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.43 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.85 Crore",For Sale,House
125 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.35 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.68 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.55 Crore",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.55 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.85 Crore",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.35 Crore",For Sale,House
120 Sq. Yd.,5,4,"Malir, Karachi, Sindh","PKR,1.3 Crore",For Sale,House
120 Sq. Yd.,3,2,"Malir, Karachi, Sindh","PKR,1.2 Crore",For Sale,House
500 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,9 Crore",For Sale,House
120 Sq. Yd.,4,4,"Naya Nazimabad, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
181 Sq. Yd.,6,5,"Naya Nazimabad, Karachi, Sindh","PKR,3.85 Crore",For Sale,House
350 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,1.8 Crore",For Sale,House
120 Sq. Yd.,4,4,"Naya Nazimabad, Karachi, Sindh","PKR,3.5 Crore",For Sale,House
120 Sq. Yd.,4,4,"Naya Nazimabad, Karachi, Sindh","PKR,2.65 Crore",For Sale,House
120 Sq. Yd.,4,4,"Naya Nazimabad, Karachi, Sindh","PKR,2.6 Crore",For Sale,House
500 Sq. Yd.,5,4,"DHA Defence, Karachi, Sindh","PKR,10.5 Crore",For Sale,House
100 Sq. Yd.,4,3,"DHA Defence, Karachi, Sindh","PKR,4.4 Crore",For Sale,House
500 Sq. Yd.,5,5,"Bahria Town Karachi, Karachi, Sindh","PKR,3.7 Crore",For Sale,House
680 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,13.5 Crore",For Sale,House
600 Sq. Yd.,6,8,"Clifton, Karachi, Sindh","PKR,13.75 Crore",For Sale,House
300 Sq. Yd.,5,4,"DHA Defence, Karachi, Sindh","PKR,7.5 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.67 Crore",For Sale,House
350 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,2 Crore",For Sale,House
"1,000 Sq. Yd.",8,7,"DHA Defence, Karachi, Sindh","PKR,13.25 Crore",For Sale,House
375 Sq. Yd.,6,5,"Cantt, Karachi, Sindh","PKR,7.8 Crore",For Sale,House
200 Sq. Yd.,-,-,"Bahria Town Karachi, Karachi, Sindh","PKR,1.4 Crore",For Sale,House
300 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,10.25 Crore",For Sale,House
300 Sq. Yd.,5,4,"DHA Defence, Karachi, Sindh","PKR,6.25 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,12 Crore",For Sale,House
300 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,7.25 Crore",For Sale,House
350 Sq. Yd.,4,4,"Malir, Karachi, Sindh","PKR,8.1 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,19.75 Crore",For Sale,House
350 Sq. Yd.,5,4,"Malir, Karachi, Sindh","PKR,9 Crore",For Sale,House
500 Sq. Yd.,5,5,"Malir, Karachi, Sindh","PKR,9.6 Crore",For Sale,House
350 Sq. Yd.,5,4,"Malir, Karachi, Sindh","PKR,7.65 Crore",For Sale,House
125 Sq. Yd.,4,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.55 Crore",For Sale,House
250 Sq. Yd.,4,4,"Shaheed Millat Road, Karachi, Sindh","PKR,8.5 Crore",For Sale,House
200 Sq. Yd.,6,6,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,5 Crore",For Sale,House
375 Sq. Yd.,6,5,"Cantt, Karachi, Sindh","PKR,7.8 Crore",For Sale,House
350 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,2.15 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.45 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,11.25 Crore",For Sale,House
100 Sq. Yd.,4,3,"DHA Defence, Karachi, Sindh","PKR,4.5 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,2.2 Crore",For Sale,House
,-,-,"Korangi, Karachi, Sindh","PKR,3.15 Crore",For Sale,House
200 Sq. Yd.,6,6,"North Nazimabad, Karachi, Sindh","PKR,5.5 Crore",For Sale,House
220 Sq. Yd.,6,6,"North Nazimabad, Karachi, Sindh","PKR,5.8 Crore",For Sale,House
400 Sq. Yd.,3,3,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,5.8 Crore",For Sale,House
200 Sq. Yd.,6,6,"North Nazimabad, Karachi, Sindh","PKR,3.5 Crore",For Sale,House
,-,-,"Korangi, Karachi, Sindh","PKR,3.6 Crore",For Sale,House
500 Sq. Yd.,3,3,"DHA Defence, Karachi, Sindh","PKR,8.6 Crore",For Sale,House
120 Sq. Yd.,6,4,"Shah Faisal Town, Karachi, Sindh","PKR,1.9 Crore",For Sale,House
80 Sq. Yd.,2,2,"Gulistan-e-Malir, Karachi, Sindh","PKR,90 Lakh",For Sale,House
,-,-,"Korangi, Karachi, Sindh","PKR,6.65 Crore",For Sale,House
120 Sq. Yd.,6,6,"Shah Faisal Town, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,11 Crore",For Sale,House
500 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,10.5 Crore",For Sale,House
375 Sq. Yd.,5,5,"Cantt, Karachi, Sindh","PKR,9.1 Crore",For Sale,House
350 Sq. Yd.,5,5,"Zamzama, Karachi, Sindh","PKR,20 Crore",For Sale,House
80 Sq. Yd.,2,2,"Shah Faisal Town, Karachi, Sindh","PKR,80 Lakh",For Sale,House
600 Sq. Yd.,6,10,"North Nazimabad, Karachi, Sindh","PKR,8.5 Crore",For Sale,House
300 Sq. Yd.,4,4,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,4.85 Crore",For Sale,House
400 Sq. Yd.,6,10,"Scheme 33, Karachi, Sindh","PKR,9.5 Crore",For Sale,House
400 Sq. Yd.,3,3,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,6.75 Crore",For Sale,House
100 Sq. Yd.,3,3,"DHA Defence, Karachi, Sindh","PKR,4.75 Crore",For Sale,House
