Area,Baths,Bedrooms,Location,Price,Purpose,Type
100 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,3.1 Crore",For Sale,House
100 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,2.9 Crore",For Sale,House
400 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,8.45 Crore",For Sale,House
500 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,11.5 Crore",For Sale,House
100 Sq. Yd.,4,3,"DHA Defence, Karachi, Sindh","PKR,3.95 Crore",For Sale,House
150 Sq. Yd.,4,4,"Jamshed Town, Karachi, Sindh","PKR,6.25 Crore",For Sale,House
564 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,6.6 Crore",For Sale,House
600 Sq. Yd.,6,6,"North Nazimabad, Karachi, Sindh","PKR,9 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,28 Crore",For Sale,House
120 Sq. Yd.,2,2,"Malir, Karachi, Sindh","PKR,70 Lakh",For Sale,House
500 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,9.5 Crore",For Sale,House
"1,500 Sq. Yd.",6,7,"DHA Defence, Karachi, Sindh","PKR,32 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,11 Crore",For Sale,House
350 Sq. Yd.,5,5,"Navy Housing Scheme Karsaz, Karachi, Sindh","PKR,13 Crore",For Sale,House
120 Sq. Yd.,4,4,"Scheme 33, Karachi, Sindh","PKR,2.25 Crore",For Sale,House
100 Sq. Yd.,4,3,"DHA Defence, Karachi, Sindh","PKR,4 Crore",For Sale,House
120 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,4 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.78 Crore",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.35 Crore",For Sale,House
125 Sq. Yd.,2,2,"Bahria Town Karachi, Karachi, Sindh","PKR,1.36 Crore",For Sale,House
600 Sq. Yd.,5,5,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,10 Crore",For Sale,House
745 Sq. Yd.,4,4,"Gadap Town, Karachi, Sindh","PKR,4.75 Crore",For Sale,House
666 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,17 Crore",For Sale,House
